Years,Values
1988 JAN,22.3
1988 FEB,21.8
1988 MAR,22
1988 APR,22.2
1988 MAY,22.3
1988 JUN,22.4
1988 JUL,22.6
1988 AUG,22.7
1988 SEP,22.8
1988 OCT,23
1988 NOV,23.4
1988 DEC,24.6
1989 JAN,23.3
1989 FEB,23.2
1989 MAR,23.6
1989 APR,23.8
1989 MAY,24
1989 JUN,24.1
1989 JUL,24.2
1989 AUG,24.3
1989 SEP,24.4
1989 OCT,24.6
1989 NOV,24.9
1989 DEC,26.2
1990 JAN,24.9
1990 FEB,24.9
1990 MAR,25.2
1990 APR,25.6
1990 MAY,25.8
1990 JUN,25.9
1990 JUL,26.1
1990 AUG,26.1
1990 SEP,26.2
1990 OCT,26.4
1990 NOV,26.7
1990 DEC,28
1991 JAN,26.5
1991 FEB,26.3
1991 MAR,26.9
1991 APR,27.2
1991 MAY,27.4
1991 JUN,27.5
1991 JUL,27.8
1991 AUG,27.8
1991 SEP,27.9
1991 OCT,28.1
1991 NOV,28.5
1991 DEC,29.7
1992 JAN,28.4
1992 FEB,28.4
1992 MAR,28.4
1992 APR,28.9
1992 MAY,29.1
1992 JUN,29.2
1992 JUL,29.3
1992 AUG,29.4
1992 SEP,29.5
1992 OCT,29.7
1992 NOV,30.2
1992 DEC,31.5
1993 JAN,30.3
1993 FEB,30.2
1993 MAR,30.4
1993 APR,30.8
1993 MAY,30.9
1993 JUN,31.1
1993 JUL,31.3
1993 AUG,31.3
1993 SEP,31.5
1993 OCT,31.7
1993 NOV,32.2
1993 DEC,33.6
1994 JAN,32.1
1994 FEB,32
1994 MAR,32.5
1994 APR,32.7
1994 MAY,32.8
1994 JUN,33
1994 JUL,33.2
1994 AUG,33.3
1994 SEP,33.4
1994 OCT,33.7
1994 NOV,34.1
1994 DEC,35.8
1995 JAN,33.1
1995 FEB,33.6
1995 MAR,34
1995 APR,34.6
1995 MAY,34.8
1995 JUN,35
1995 JUL,35.3
1995 AUG,35.3
1995 SEP,35.5
1995 OCT,35.7
1995 NOV,36.2
1995 DEC,38
1996 JAN,35.2
1996 FEB,35.7
1996 MAR,36.4
1996 APR,36.8
1996 MAY,37
1996 JUN,37.4
1996 JUL,37.6
1996 AUG,37.7
1996 SEP,37.9
1996 OCT,38.2
1996 NOV,38.9
1996 DEC,40.5
1997 JAN,38.3
1997 FEB,38.5
1997 MAR,39.2
1997 APR,39.6
1997 MAY,39.8
1997 JUN,40.2
1997 JUL,40.5
1997 AUG,40.7
1997 SEP,40.8
1997 OCT,41.1
1997 NOV,41.9
1997 DEC,43.8
1998 JAN,41.5
1998 FEB,41.4
1998 MAR,41.8
1998 APR,42.3
1998 MAY,42.6
1998 JUN,42.8
1998 JUL,43.1
1998 AUG,43.1
1998 SEP,43.2
1998 OCT,43.4
1998 NOV,44.1
1998 DEC,46
1999 JAN,43.5
1999 FEB,43.4
1999 MAR,44.1
1999 APR,44.2
1999 MAY,44.5
1999 JUN,44.7
1999 JUL,45
1999 AUG,45.1
1999 SEP,45.1
1999 OCT,45.3
1999 NOV,46.1
1999 DEC,48
2000 JAN,46.1
2000 FEB,45.6
2000 MAR,45.8
2000 APR,46.3
2000 MAY,46.5
2000 JUN,46.7
2000 JUL,46.9
2000 AUG,47
2000 SEP,47
2000 OCT,47.3
2000 NOV,48
2000 DEC,50.2
2001 JAN,47.6
2001 FEB,47.5
2001 MAR,48.1
2001 APR,48.8
2001 MAY,49.3
2001 JUN,49.6
2001 JUL,49.9
2001 AUG,50
2001 SEP,50.1
2001 OCT,50.4
2001 NOV,51.2
2001 DEC,53.5
2002 JAN,50.5
2002 FEB,50.7
2002 MAR,51.6
2002 APR,52.1
2002 MAY,52.5
2002 JUN,52.6
2002 JUL,52.9
2002 AUG,53
2002 SEP,53.1
2002 OCT,53.4
2002 NOV,54.4
2002 DEC,56.5
2003 JAN,52.5
2003 FEB,52.7
2003 MAR,53.3
2003 APR,54.2
2003 MAY,54.5
2003 JUN,54.9
2003 JUL,55.2
2003 AUG,55.3
2003 SEP,55.5
2003 OCT,55.9
2003 NOV,56.8
2003 DEC,59.2
2004 JAN,56.4
2004 FEB,56.2
2004 MAR,56.7
2004 APR,57.4
2004 MAY,57.9
2004 JUN,58.2
2004 JUL,58.4
2004 AUG,58.5
2004 SEP,58.6
2004 OCT,59
2004 NOV,59.9
2004 DEC,62.1
2005 JAN,58.2
2005 FEB,57.7
2005 MAR,58.6
2005 APR,58.9
2005 MAY,59.1
2005 JUN,59.4
2005 JUL,59.6
2005 AUG,59.5
2005 SEP,59.5
2005 OCT,59.7
2005 NOV,60.6
2005 DEC,63.1
2006 JAN,57.8
2006 FEB,57.8
2006 MAR,58.5
2006 APR,59.4
2006 MAY,60
2006 JUN,60.5
2006 JUL,61
2006 AUG,61.1
2006 SEP,61.3
2006 OCT,61.6
2006 NOV,62.6
2006 DEC,65.3
2007 JAN,59.9
2007 FEB,60.4
2007 MAR,61.5
2007 APR,62.5
2007 MAY,63
2007 JUN,63.5
2007 JUL,63.8
2007 AUG,63.9
2007 SEP,64.1
2007 OCT,64.5
2007 NOV,65.5
2007 DEC,68.2
2008 JAN,64
2008 FEB,64.2
2008 MAR,64.8
2008 APR,65
2008 MAY,65.8
2008 JUN,66.2
2008 JUL,66.4
2008 AUG,66.5
2008 SEP,66.6
2008 OCT,66.9
2008 NOV,67.8
2008 DEC,70.2
2009 JAN,65.7
2009 FEB,65.2
2009 MAR,65.9
2009 APR,66.7
2009 MAY,67.1
2009 JUN,67.7
2009 JUL,68
2009 AUG,68
2009 SEP,68.2
2009 OCT,68.5
2009 NOV,69.6
2009 DEC,72.1
2010 JAN,67.1
2010 FEB,67.3
2010 MAR,68.8
2010 APR,69.2
2010 MAY,69.8
2010 JUN,70.5
2010 JUL,70.8
2010 AUG,70.8
2010 SEP,71
2010 OCT,71.4
2010 NOV,72.5
2010 DEC,75.1
2011 JAN,70.6
2011 FEB,70.2
2011 MAR,70.7
2011 APR,72.1
2011 MAY,72.4
2011 JUN,72.9
2011 JUL,73.3
2011 AUG,73.2
2011 SEP,73.4
2011 OCT,73.8
2011 NOV,74.8
2011 DEC,77.8
2012 JAN,71.5
2012 FEB,71.5
2012 MAR,72.8
2012 APR,73.6
2012 MAY,74.2
2012 JUN,74.9
2012 JUL,75.3
2012 AUG,75.3
2012 SEP,75.6
2012 OCT,76.1
2012 NOV,77.1
2012 DEC,80.2
2013 JAN,73.6
2013 FEB,74
2013 MAR,75.5
2013 APR,75.7
2013 MAY,76.4
2013 JUN,77.4
2013 JUL,78
2013 AUG,78.1
2013 SEP,78.5
2013 OCT,78.9
2013 NOV,80
2013 DEC,83.2
2014 JAN,77.2
2014 FEB,77.1
2014 MAR,77.8
2014 APR,79
2014 MAY,79.7
2014 JUN,80.5
2014 JUL,80.9
2014 AUG,81.1
2014 SEP,81.3
2014 OCT,81.7
2014 NOV,83.1
2014 DEC,86.1
2015 JAN,79.2
2015 FEB,79.3
2015 MAR,80.9
2015 APR,81.5
2015 MAY,82.2
2015 JUN,83
2015 JUL,83.4
2015 AUG,83.3
2015 SEP,83.5
2015 OCT,83.9
2015 NOV,85.3
2015 DEC,88.1
2016 JAN,81.1
2016 FEB,80.9
2016 MAR,81.7
2016 APR,82.3
2016 MAY,83.3
2016 JUN,83.9
2016 JUL,84.5
2016 AUG,84.7
2016 SEP,85
2016 OCT,85.6
2016 NOV,87
2016 DEC,90.2
2017 JAN,82.1
2017 FEB,82.4
2017 MAR,84
2017 APR,85.6
2017 MAY,86.4
2017 JUN,87.2
2017 JUL,87.9
2017 AUG,88.1
2017 SEP,88.3
2017 OCT,88.8
2017 NOV,90.4
2017 DEC,93.8
2018 JAN,84.8
2018 FEB,85.5
2018 MAR,87.4
2018 APR,88.1
2018 MAY,89.5
2018 JUN,90.6
2018 JUL,91.3
2018 AUG,91.4
2018 SEP,91.7
2018 OCT,92.1
2018 NOV,93.6
2018 DEC,96.9
2019 JAN,88.9
2019 FEB,89.3
2019 MAR,90.9
2019 APR,92.3
2019 MAY,93.1
2019 JUN,93.9
2019 JUL,94.6
2019 AUG,94.7
2019 SEP,94.8
2019 OCT,95.3
2019 NOV,96.7
2019 DEC,100
2020 JAN,91.7
2020 FEB,91.4
2020 MAR,92.1
2020 APR,89.4
2020 MAY,89.2
2020 JUN,90.7
2020 JUL,91.8
2020 AUG,92.5
2020 SEP,93.3
2020 OCT,94.4
2020 NOV,96.2
2020 DEC,99.2
2021 JAN,87.3
2021 FEB,88.4
2021 MAR,92.3
2021 APR,94.9
2021 MAY,96.7
2021 JUN,98.6
2021 JUL,99.3
2021 AUG,99.6
2021 SEP,99.8
2021 OCT,100.5
2021 NOV,102.4
2021 DEC,105.3
2022 JAN,96.1
2022 FEB,97.1
2022 MAR,99.3
2022 APR,101
2022 MAY,102.1
2022 JUN,103.5
2022 JUL,104.5
2022 AUG,104.7
2022 SEP,104.9
2022 OCT,105.6
2022 NOV,107.6
2022 DEC,111.1
2023 JAN,102.3
2023 FEB,104
2023 MAR,106.3
2023 APR,107.9
2023 MAY,109.2
2023 JUN,110.5
2023 JUL,111
2023 AUG,111
2023 SEP,110.9
2023 OCT,111.3
